name,placeType,city,state,country,rating,reviewsNumber,hostedBy,guestNum,bedroomNum,bedNum,bathNum,cleanliness,accuracy,communication,location,checkIn,Value,full_location,hostJoined,pricePerNight,ID,url,page
Fabulous boutique cabin with an amazing viewpoint.,Hut,NA,NA,NA,4.99,165,,4,1,1,1,4.9,5.0,5.0,5.0,5.0,4.9,"Mineral del Chico, Hidalgo, Mexico",2016,104,1,https://airbnb.com/rooms/19070024?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748108_LG77NAM7IlwUz%2Fo%2B&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
La Fortaleza,Entire chalet,NA,NA,NA,4.91,111,Luis,14,5,5,2.5,4.9,4.9,5.0,5.0,5.0,4.9,"Mineral del Monte, Hidalgo, Mexico",2017,248,2,https://airbnb.com/rooms/47445783?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_z3BhJ9cTNmmllklf&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
"Cabin in the Forest, Real del Monte",Entire home,NA,NA,NA,4.96,163,Carlos Franco,5,2,2,2.5,4.9,5.0,5.0,4.9,5.0,4.9,"Mineral del Monte, Hidalgo, Mexico",2015,110,3,https://airbnb.com/rooms/8164384?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748109_bEDzQ30UJIsisL3q&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Forest House Cabaña Boutique in Mineral del Monte,Entire cabin,NA,NA,NA,4.97,199,Víctor Manuel,4,1,1,1.5,5.0,4.9,5.0,4.8,4.8,4.9,"Mineral del Monte, Hidalgo, Mexico",2018,87,4,https://airbnb.com/rooms/51420668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1697748109_r%2B8auAnif8UwEuoJ&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Villa Alejandra Cabana,Entire cabin,NA,NA,NA,4.88,145,Alejandra,6,3,3,1.5,4.9,4.9,4.9,4.8,4.8,4.8,"Mineral del Monte, Hidalgo, Mexico",2016,102,5,https://airbnb.com/rooms/44180065?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_BtLI5DiD2rIhICXw&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Cabaña Boutique TinyChillHouse 2,Entire cabin,NA,NA,NA,4.81,297,Edgar,4,1,1,1,4.8,4.9,4.9,4.8,4.8,4.8,"Mineral del Chico , Hidalgo, Mexico",2016,107,6,https://airbnb.com/rooms/42473851?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-26&check_out=2023-12-01&source_impression_id=p3_1697748109_Gwi5ycDvhH7XLBao&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Cabin (1) in the woods with panoramic view,Tiny home,NA,NA,NA,4.86,111,Carlos Franco,2,1,1,1,4.9,4.9,5.0,4.8,4.8,4.7,"Mineral del Monte, Hidalgo, Mexico",2015,73,7,https://airbnb.com/rooms/48332289?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-07&check_out=2023-11-12&source_impression_id=p3_1697748109_fjlHa3c7V15DZ0YA&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Cabana  Niebla,Entire cabin,NA,NA,NA,4.75,343,Arturo,4,2,2,1,4.8,4.8,4.9,4.8,4.9,4.8,"Mineral del Monte, Hidalgo, Mexico",2017,49,8,https://airbnb.com/rooms/27490087?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_hVQ03%2BuJg37u%2BpSf&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Restful cabin with a view.,Entire cabin,NA,NA,NA,4.91,22,Kevin,7,3,3,1.5,5.0,5.0,5.0,4.7,4.9,4.9,"Mineral del Monte, Hidalgo, Mexico",2021,83,9,https://airbnb.com/rooms/792145217267688938?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697748109_khCjd7M51RXvjjul&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
"House with fireplace, billiards and fire pit",Entire home,NA,NA,NA,4.92,50,Casa,6,3,3,2.5,4.9,4.9,5.0,4.7,4.7,4.8,"Mineral del Monte, Hidalgo, Mexico",2022,138,10,https://airbnb.com/rooms/700973494536797652?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_X6nEGL5ITnPngNPJ&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Pacifica; equipped house.,Entire home,NA,NA,NA,4.67,229,Arturo,10,3,3,3.5,4.5,4.8,4.8,4.8,4.9,4.7,"Mineral del Monte, Hidalgo, Mexico",2017,72,11,https://airbnb.com/rooms/17882192?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_2lYTKjFZ5d1IHfX3&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Real del Bosque cottage,Entire cabin,NA,NA,NA,4.92,216,Jaime,4,3,3,1.5,4.9,4.9,4.9,4.9,4.9,4.9,"Mineral del Monte, Hidalgo, Mexico",2018,83,12,https://airbnb.com/rooms/34088597?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697748109_sOQhe9LqrUgjohQ1&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Beautiful and modern cabin  near Pueblos Mágicos,Hut,NA,NA,NA,4.75,59,Kandy,6,2,2,2,4.7,4.8,4.9,4.6,4.6,4.6,"Mineral del Monte, Hidalgo, Mexico",2018,138,13,https://airbnb.com/rooms/53384716?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_ttsen0UhuBCWU%2FiQ&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Cabaña El Encino in Real del Monte,Entire cabin,NA,NA,NA,4.92,285,Gabriela,2,1,1,1,5.0,4.9,5.0,4.8,4.9,4.9,"Mineral del Monte, Mexico",2016,83,14,https://airbnb.com/rooms/23566985?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_s95FUb4kPalCZQ73&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Cabin El Tepozan in Real del Monte,Entire cabin,Mineral del Monte,Hidalgo,Mexico,4.86,103,Gabriela,3,1,1,1,5.0,4.9,5.0,4.7,4.8,4.8,"Mineral del Monte, Hidalgo, Mexico",2016,82,15,https://airbnb.com/rooms/49291363?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748109_qLFIvifkHyEJcKKz&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Amazing Cabin in the woods with internet !!!,Entire cabin,Mineral del Chico,Hidalgo,Mexico,4.78,65,Ana Cecilia,6,2,2,1,4.8,4.9,5.0,4.9,4.8,4.7,"Mineral del Chico, Hidalgo, Mexico",2020,107,16,https://airbnb.com/rooms/600007690061051052?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-05&check_out=2023-11-10&source_impression_id=p3_1697748109_QjBqPbeNh2Fw518H&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Cabin 2-4 people in Centro de Real del Monte,Entire cabin,NA,NA,NA,4.90,80,Omar,4,1,1,1,5.0,4.9,5.0,4.8,4.8,4.8,"Mineral del Monte, Hidalgo, Mexico",2015,55,17,https://airbnb.com/rooms/43022495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748109_A7N4eyVDQxszzdvJ&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,1
Cabin in the  woods with panoramic views,Entire cabin,NA,NA,NA,4.89,36,Carlos Franco,2,1,1,1.5,5.0,5.0,5.0,4.9,4.9,4.8,"Mineral del Monte, Hidalgo, Mexico",2015,81,18,https://airbnb.com/rooms/31954352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748109_FE1dC6m%2B%2FiH4xUvT&previous_page_section_name=1000&federated_search_id=0cd46274-1f93-4bb6-8ec9-29677d6f4e1b,2
Cabin 2 in the center of Real del Monte,Entire cabin,NA,NA,NA,4.96,57,,2,1,1,1,5.0,4.9,5.0,4.8,4.8,4.8,"Mineral del Monte, Hidalgo, Mexico",2015,55,19,https://airbnb.com/rooms/45496665?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697748129_cZGxrKgr%2B7XaKZB6&previous_page_section_name=1000&federated_search_id=39c37997-6634-4f8e-bc75-18b3f76dd569,2
"A comfortable, well-equipped apartment 8 min. from downtown.",Entire loft,NA,NA,NA,4.77,30,,2,1,1,1,4.5,4.9,4.9,4.8,4.7,4.7,"Mineral del Monte, Hidalgo, Mexico",2022,27,20,https://airbnb.com/rooms/619658182206238838?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748129_pIi1%2B6XPH667j8Pv&previous_page_section_name=1000&federated_search_id=39c37997-6634-4f8e-bc75-18b3f76dd569,2
B Quiet and quiet suite eq near the center,Entire rental unit,NA,NA,NA,4.89,18,,4,1,1,1,4.9,4.9,4.9,4.8,4.7,4.7,"Mineral del Monte, Hidalgo, Mexico",2022,32,21,https://airbnb.com/rooms/674010837639084767?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748129_QYXQL2PC2vuC2GbO&previous_page_section_name=1000&federated_search_id=39c37997-6634-4f8e-bc75-18b3f76dd569,2
Forest House 2 Cabaña Boutique,Entire cabin,Mineral del Monte,Hidalgo,Mexico,4.96,73,Víctor Manuel,4,1,1,2,4.9,5.0,5.0,4.8,4.7,4.8,"Mineral del Monte, Hidalgo, Mexico",2018,89,22,https://airbnb.com/rooms/793654579722163913?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-26&check_out=2023-12-01&source_impression_id=p3_1697748129_VYREe37r3IJ6Z85S&previous_page_section_name=1000&federated_search_id=39c37997-6634-4f8e-bc75-18b3f76dd569,2
